station_id,stationCode_info,name,lat,lon,capacity,station_opening_hours_info,rental_methods/0,num_bikes_available,numBikesAvailable,mechanical_bikes,ebikes,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode_status,station_opening_hours_status,availability_rate,occupancy_rate,availability_status,ebike_percentage,is_operational
213688169,16107,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,,,23,23,4,19,12,12,1,1,1,1776082176,16107,,65.71,65.71,Available,82.61,1
19179944124,40001,Hôpital Mondor,48.798922410229,2.4537451531298,28,,,9,9,3,6,19,19,1,1,1,1776081982,40001,,32.14,32.14,Available,66.67,1
18795078746,32304,Charcot - Benfleet,48.878370277021,2.440523876268,28,,,10,10,8,2,18,18,1,1,1,1776082068,32304,,35.71,35.71,Available,20.0,1
36255,9020,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,,CREDITCARD,3,3,1,2,17,17,1,1,1,1776082000,9020,,14.29,19.05,Low,66.67,1
251039991,14111,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,,CREDITCARD,14,14,3,11,11,11,1,1,1,1776082194,14111,,56.0,56.0,Available,78.57,1
85002689,14014,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,,CREDITCARD,12,12,11,1,48,48,1,1,1,1776082094,14014,,20.0,20.0,Available,8.33,1
2515829865,32017,Basilique,48.93626891059109,2.3588666820200914,22,,CREDITCARD,20,20,9,11,1,1,1,1,1,1776082155,32017,,90.91,95.45,Available,55.0,1
516709288,11104,Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,20,,,3,3,0,3,15,15,1,1,1,1776082155,11104,,15.0,25.0,Low,100.0,1
120827885,8026,Messine - Place Du Pérou,48.87544803396074,2.315508019010038,12,,CREDITCARD,10,10,0,10,2,2,1,1,1,1776082070,8026,,83.33,83.33,Available,100.0,1
37874517,6003,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,,CREDITCARD,17,17,14,3,4,4,1,1,1,1776082189,6003,,80.95,80.95,Available,17.65,1
210565680,7002,Vaneau - Sèvres,48.848563233059,2.3204218259346,35,,,11,11,8,3,23,23,1,1,1,1776082122,7002,,31.43,34.29,Available,27.27,1
210403080,5110,Lacépède - Monge,48.84389286531899,2.351966388523578,23,,CREDITCARD,12,12,4,8,11,11,1,1,1,1776082143,5110,,52.17,52.17,Available,66.67,1
210561800,6108,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,,,2,2,1,1,15,15,1,1,1,1776082029,6108,,11.76,11.76,Low,50.0,1
209063434,33006,André Karman - République,48.91039875761846,2.3851355910301213,31,,,8,8,0,8,23,23,1,1,1,1776081987,33006,,25.81,25.81,Available,100.0,1
94555589,42016,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,,,1,1,0,1,25,25,1,1,1,1776082149,42016,,3.7,7.41,Low,100.0,1
501862076,25006,Place Nelson Mandela,48.862453313908,2.1961666225454,22,,CREDITCARD,4,4,2,2,18,18,1,1,1,1776082029,25006,,18.18,18.18,Low,50.0,1
17486274358,30002,Jean Rostand - Paul Vaillant Couturier,48.908168131015,2.4530601033354,40,,CREDITCARD,4,4,0,4,36,36,1,1,1,1776081853,30002,,10.0,10.0,Low,100.0,1
19331959862,40011,Bas du Mont-Mesly,48.779751,2.460837,27,,CREDITCARD,9,9,7,2,18,18,1,1,1,1776081644,40011,,33.33,33.33,Available,22.22,1
210566542,7003,Square Boucicaut,48.85129643366528,2.325061820447445,60,,CREDITCARD,55,55,25,30,5,5,1,1,1,1776082074,7003,,91.67,91.67,Available,54.55,1
85043758,17041,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,36,,CREDITCARD,9,9,5,4,24,24,1,1,1,1776082184,17041,,25.0,33.33,Available,44.44,1
82405965,11025,Froment - Bréguet,48.8570414504784,2.37289470306807,43,,CREDITCARD,5,5,2,3,34,34,1,1,1,1776082153,11025,,11.63,20.93,Low,60.0,1
213682736,15047,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,,,1,1,1,0,51,51,1,1,1,1776081602,15047,,1.92,1.92,Low,0.0,1
54000559,17026,Jouffroy d'Abbans - Wagram,48.881973298352,2.301132157445,40,,CREDITCARD,17,17,9,8,23,23,1,1,1,1776082112,17026,,42.5,42.5,Available,47.06,1
37815204,12109,Mairie du 12ème,48.840855311763,2.3875549435616,30,,,2,2,2,0,27,27,1,1,1,1776081779,12109,,6.67,10.0,Low,0.0,1
210405211,6021,Beaux-Arts - Bonaparte,48.856451985396,2.3348518833518,20,,CREDITCARD,18,18,17,1,1,1,1,1,1,1776081768,6021,,90.0,95.0,Available,5.56,1
16560752067,15202,Bracion - Périphérique,48.826103771275,2.3004549373748,30,,CREDITCARD,7,7,3,4,22,22,1,1,1,1776081625,15202,,23.33,26.67,Available,57.14,1
66491398,13007,Le Brun - Gobelins,48.835092787824,2.3534681351338,48,,CREDITCARD,2,2,1,1,45,45,1,1,1,1776082171,13007,,4.17,6.25,Low,50.0,1
20364431108,42208,Place des Marseillais,48.826605522232,2.4059119927899,35,,CREDITCARD,10,10,8,2,24,24,1,1,1,1776082173,42208,,28.57,31.43,Available,20.0,1
210397939,5016,Thouin - Cardinal Lemoine,48.845047166615,2.3494647851273,17,,,12,12,4,8,3,3,1,1,1,1776081733,5016,,70.59,82.35,Available,66.67,1
43195240,21010,Silly - Galliéni,48.835583838706,2.2325500845909,25,,CREDITCARD,21,21,17,4,4,4,1,1,1,1776082095,21010,,84.0,84.0,Available,19.05,1
54000581,13101,Croulebarde - Corvisart,48.830981659316855,2.3481646925210957,34,,CREDITCARD,8,8,3,5,26,26,1,1,1,1776081993,13101,,23.53,23.53,Available,62.5,1
13105968,14108,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,,,0,0,0,0,21,21,1,1,1,1776082106,14108,,0.0,0.0,Empty,,1
653208733,31024,Romainville - Vaillant-Couturier,48.86785,2.446748,38,,,1,1,0,1,36,36,1,1,1,1776081664,31024,,2.63,5.26,Low,100.0,1
78348185,21108,Mairie de Clichy,48.903653634661,2.3059353232384,51,,CREDITCARD,8,8,4,4,41,41,1,1,1,1776082131,21108,,15.69,19.61,Available,50.0,1
54000536,2022,Saint-Fiacre - Poissonière,48.870828911558,2.3459213599563,35,,CREDITCARD,13,13,5,8,22,22,1,1,1,1776082164,2022,,37.14,37.14,Available,61.54,1
129094535,17044,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,42,,,3,3,2,1,37,37,1,1,1,1776081858,17044,,7.14,11.9,Low,33.33,1
54000612,19033,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,43,,,7,7,2,5,36,36,1,1,1,1776082160,19033,,16.28,16.28,Available,71.43,1
80101533,17025,Chazelles - Courcelles,48.879406604954,2.3034455627202988,35,,CREDITCARD,7,7,4,3,27,27,1,1,1,1776082107,17025,,20.0,22.86,Available,42.86,1
17486876370,21326,Moulin de Pierre - Abbé Grégoire,48.822036188382,2.2754641655975,20,,,0,0,0,0,20,20,1,1,1,1776082174,21326,,0.0,0.0,Empty,,1
599135701,20143,Ramponeau - Belleville,48.871031137596,2.379056852114,44,,CREDITCARD,3,3,2,1,41,41,1,1,1,1776081768,20143,,6.82,6.82,Low,33.33,1
102747146,43002,Lagny - Victor Basch,48.84884147189881,2.426325418925233,26,,CREDITCARD,21,21,15,6,5,5,1,1,1,1776082162,43002,,80.77,80.77,Available,28.57,1
2515403527,16138,Saint-Cloud - Hippodrome,48.85772148887421,2.2549109905958176,30,,,9,9,5,4,20,20,1,1,1,1776081963,16138,,30.0,33.33,Available,44.44,1
653132534,21216,Louis Lejeune - Barbès,48.81807418981508,2.326700985431672,25,,,3,3,1,2,22,22,1,1,1,1776081930,21216,,12.0,12.0,Low,66.67,1
506455295,15068,Général Martial Valin - Pont du Garigliano,48.83823094269141,2.270506024360657,16,,,8,8,1,7,8,8,1,1,1,1776082191,15068,,50.0,50.0,Available,87.5,1
1057149522,22207,Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,22,,,1,1,0,1,20,20,1,1,1,1776082196,22207,,4.55,9.09,Low,100.0,1
653197324,92002,Théâtre des Amandiers - Palais des sports,48.892648526839,2.2136941552162,23,,,13,13,4,9,9,9,1,1,1,1776081720,92002,,56.52,60.87,Available,69.23,1
49474389,8103,Artois - Berri,48.873935212408,2.306425832212,37,,,37,37,12,25,0,0,1,1,1,1776082054,8103,,100.0,100.0,Available,67.57,1
14813797734,31028,Raspail Barbès,48.8529945,2.4247387,28,,CREDITCARD,22,22,6,16,6,6,1,1,1,1776081908,31028,,78.57,78.57,Available,72.73,1
88230992,17048,De Toqueville - Terrasse,48.882428,2.314002,30,,CREDITCARD,3,3,2,1,27,27,1,1,1,1776081967,17048,,10.0,10.0,Low,33.33,1
499303158,44017,Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,30,,CREDITCARD,4,4,4,0,25,25,1,1,1,1776082118,44017,,13.33,16.67,Low,0.0,1
1057387136,44010,8 Mai 1945 - 10 Juillet 1940,48.784567029674,2.3979035764933,30,,CREDITCARD,14,14,13,1,15,15,1,1,1,1776082158,44010,,46.67,50.0,Available,7.14,1
27415302,16118,Michel-Ange - Parent de Rosan,48.84057992369012,2.2584119439125065,26,,,1,1,0,1,24,24,1,1,1,1776082092,16118,,3.85,7.69,Low,100.0,1
27414512,2017,Caire - Dussoubs,48.86785342111862,2.349364310503006,40,,,37,37,10,27,3,3,1,1,1,1776082134,2017,,92.5,92.5,Available,72.97,1
210580039,9008,Tour d'Auvergne - Rodier,48.879161,2.343698,17,,,1,1,1,0,16,16,1,1,1,1776081872,9008,,5.88,5.88,Low,0.0,1
128940135,8048,Marceau - Chaillot,48.868834023334,2.2986030816809,21,,,18,18,5,13,3,3,1,1,1,1776082109,8048,,85.71,85.71,Available,72.22,1
35149611,14013,Liard - Amiral Mouchez,48.8214169,2.342167,28,,CREDITCARD,15,15,13,2,12,12,1,1,1,1776082065,14013,,53.57,57.14,Available,13.33,1
1057296253,13118,Regnault - Patay,48.82435782216384,2.377065159380436,63,,,51,51,42,9,8,8,1,1,1,1776082178,13118,,80.95,87.3,Available,17.65,1
576188379,15112,Vigée-Lebrun - Anselme Payen,48.838683941628375,2.3110422492027287,24,,,2,2,1,1,22,22,1,1,1,1776082000,15112,,8.33,8.33,Low,50.0,1
2515085147,13030,Italie - Tolbiac,48.82557229464416,2.357617132365704,21,,,6,6,2,4,15,15,1,1,1,1776081789,13030,,28.57,28.57,Available,66.67,1
19331981332,40016,Sarrazins - Saussure,48.769626617432,2.4717841148376,22,,CREDITCARD,17,17,3,14,5,5,1,1,1,1776081989,40016,,77.27,77.27,Available,82.35,1
129107656,18111,Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,25,,,0,0,0,0,25,25,1,1,1,1776082125,18111,,0.0,0.0,Empty,,1
210574471,9002,Abbeville - Faubourg Poissonnière,48.879223,2.349147,14,,CREDITCARD,0,0,0,0,12,12,1,1,1,1776082170,9002,,0.0,14.29,Empty,,1
1057228658,48003,Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,22,,,0,0,0,0,22,22,1,1,1,1776081882,48003,,0.0,0.0,Empty,,1
230873471,16110,Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,21,,,12,12,4,8,9,9,1,1,1,1776082038,16110,,57.14,57.14,Available,66.67,1
17278902806,44015,Rouget de L'isle - Watteau,48.778192750803,2.3963020229163,20,,,3,3,0,3,17,17,1,1,1,1776082145,44015,,15.0,15.0,Low,100.0,1
129164969,43009,Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,50,,CREDITCARD,2,2,1,1,46,46,1,1,1,1776081860,43009,,4.0,8.0,Low,50.0,1
129004826,9001,Bellefond - Poissonnière,48.87759897050706,2.348463758826256,17,,CREDITCARD,4,4,1,3,13,13,1,1,1,1776082079,9001,,23.53,23.53,Low,75.0,1
518825709,17032,Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,21,,,15,15,5,10,6,6,1,1,1,1776082030,17032,,71.43,71.43,Available,66.67,1
128930462,8016,Square Louis XVI,48.87320440102894,2.323658830743138,29,,CREDITCARD,28,28,18,10,1,1,1,1,1,1776082156,8016,,96.55,96.55,Available,35.71,1
54000565,10115,Granges aux Belles,48.8761373390584,2.3680844979417,27,,,4,4,1,3,22,22,1,1,1,1776081616,10115,,14.81,18.52,Low,75.0,1
210586093,10029,Dunkerque - Rocroy,48.880726,2.351464,24,,,1,1,0,1,22,22,1,1,1,1776082110,10029,,4.17,8.33,Low,100.0,1
369644630,10161,Gare de l'Est - Faubourg-Saint-Martin,48.875642647477,2.3594588041306,32,,CREDITCARD,5,5,2,3,26,26,1,1,1,1776081841,10161,,15.62,18.75,Low,60.0,1
214114469,41303,Gare de Nogent-le-Perreux,48.83842553348809,2.493693307042122,32,,CREDITCARD,23,23,8,15,9,9,1,1,1,1776082069,41303,,71.88,71.88,Available,65.22,1
55927887,12031,Gabriel Lamé,48.8351212784276,2.385534569621086,36,,CREDITCARD,34,34,31,3,0,0,1,1,1,1776082164,12031,,94.44,100.0,Available,8.82,1
323616530,1001,Quai de l'Horloge - Pont Neuf,48.857058739111,2.3417982839439,17,,CREDITCARD,17,17,13,4,0,0,1,1,1,1776082094,1001,,100.0,100.0,Available,23.53,1
72765603,5022,Boulangers - Cardinal Lemoine,48.8462904,2.3521495,20,,CREDITCARD,20,20,6,14,0,0,1,1,1,1776082063,5022,,100.0,100.0,Available,70.0,1
16659953198,21328,Verger - Colonel Guichard,48.816376985087,2.2670380088932,29,,CREDITCARD,2,2,1,1,26,26,1,1,1,1776082107,21328,,6.9,10.34,Low,50.0,1
